"title","rental_rate","overall_average","standard_deviation","standard_score"
"Chamber Italian","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Grosse Wonderful","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Airport Pollock","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bright Encounters","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Academy Dinosaur","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Ace Goldfinger","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Adaptation Holes","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Affair Prejudice","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"African Egg","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Agent Truman","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Airplane Sierra","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Alabama Devil","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Aladdin Calendar","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Alamo Videotape","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Alaska Phantom","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Date Speed","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Ali Forever","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Alice Fantasia","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Alien Center","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Alley Evolution","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Alone Trip","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Alter Victory","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Amadeus Holy","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Amelie Hellfighters","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"American Circus","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Amistad Midsummer","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Anaconda Confessions","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Analyze Hoosiers","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Angels Life","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Annie Identity","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Anonymous Human","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Anthem Luke","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Antitrust Tomatoes","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Anything Savannah","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Apache Divine","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Apocalypse Flamingos","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
